,URL,building,district,neighborhood,price,beds,baths,surface,lat,long,highlights,furnishing,amenities,completion_year,floor,price_sqf,views,discounted,cheap,distressed,investment,tenanted,vacant,metro,furnished,condition,upgraded,luxury,median_sqf,diff_percent,valuation
6039,"https://www.bayut.com/property/details-5923828.html
",,Dubai Marina,Marina Pinnacle,950000,2.0,2,1220.0,25.08869934082,55.14820098877,"VASTU COMPLIANT, 2BR, WELL MAINTAINED",,"['Parking Spaces', 'Jacuzzi', 'Sauna', 'Steam Room', 'Electricity Backup', 'Parking Spaces', 'Centrally Air-Conditioned', 'Lobby in Building', 'Service Elevators', 'Completion Year: 2008', 'Jacuzzi', 'Sauna', 'Steam Room', 'Waste Disposal', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']",2008,,778.688524590164,0,0,0,0,0,0,0,0,0,1,,1,1528.2555282555284,-49.04722998260503,good value
6048,"https://www.bayut.com/property/details-5919591.html
",,Dubai Marina,The Belvedere,900000,1.0,1,1012.0,25.068199157715,55.130699157715,"1 BR with Partial Marina View, Well Maintained",Furnished,"['Furnished', 'Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Furnished', 'Parking Spaces', 'Centrally Air-Conditioned', 'Double Glazed Windows', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Completion Year: 2005', 'Facilities for Disabled', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Steam Room', 'Kids Play Area', 'Waste Disposal', 'Maintenance Staff', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge', 'View']",2005,,889.3280632411067,1,0,0,0,0,0,0,0,0,1,,1,1499.6465182043125,-40.697487544865275,good value
6063,"https://www.bayut.com/property/details-5907325.html
",Burj Views C,Downtown Dubai,Burj Views,1800000,2.0,3,1348.0,25.190219,55.281293,SPACIOUS UNIT ll UNFURNISHED ll HIGH FLOOR,,[],0,,1335.311572700297,0,0,0,0,0,0,0,0,1,0,,0,2356.7802755620014,-43.34170280757817,good value
6073,"https://www.bayut.com/property/details-5920156.html
",Lady Ratan Manor,International City,Central Business District,315000,1.0,1,604.0,25.167392,55.407701,"VACANT ONE BEDROOM WITH BALCONY FOR SALE, LADY RATAN MANOR, CBD INTERNATIONAL CITY",Unfurnished,"['Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Jacuzzi', 'Parking Spaces', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'Completion Year: 2007', 'Reception/Waiting Room', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Kids Play Area', 'Lawn or Garden', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Business Center', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge', 'Freehold']",2007,,521.523178807947,0,0,0,0,0,0,1,0,0,0,,0,818.1818181818181,-36.25827814569536,good value
6083,"https://www.bayut.com/property/details-5909480.html
",,Town Square,Hayat Boulevard,850000,2.0,2,1552.0,25.004746,55.296365,"Large Terrace, Direct Pool Access,Near Community Center",,"['Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Floor', 'Parking Spaces', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Gym or Health Club', 'Swimming Pool', 'Kids Play Area', 'Barbeque Area', 'Maintenance Staff', 'Laundry Facility', 'Broadband Internet', 'Intercom', 'ATM Facility', '24 Hours Concierge', 'Floor']",0,,547.680412371134,0,0,0,0,0,0,0,0,0,0,,0,844.5945945945946,-35.15463917525773,good value
6093,"https://www.bayut.com/property/details-5907933.html
",Claren Tower 2,Downtown Dubai,Claren Towers,2150000,2.0,3,1331.0,25.190936,55.271419,"STUNNING 2 BR,HIGH FLOOR,MOTIVATED SELLER,CLAREN 2",,[],0,,1615.3268219383922,0,0,0,0,0,0,0,0,0,0,,0,2356.7802755620014,-31.460440386060213,good value
6112,"https://www.bayut.com/property/details-5907913.html
",Executive Tower L,Business Bay,Executive Towers,850000,0.0,1,808.0,25.190585,55.266117,"VACANTING SOON, LARGE STUDIO WITH BALCONY, BUSINESS BAY",,[],0,,1051.980198019802,0,0,0,0,0,0,1,0,0,0,,0,1593.137254901961,-33.96801218583397,good value
6116,"https://www.bayut.com/property/details-5910227.html
",,Jumeirah Village Circle (JVC),Cappadocia,429999,1.0,2,820.0000000000001,25.051247,55.212146,"Pool View, Ready To Move, 7% Net ROI",Unfurnished,"['Balcony or Terrace', 'Parking Spaces: 1', 'Swimming Pool', 'Floor: 2', 'Electricity Backup', 'Parking Spaces: 1', 'Centrally Air-Conditioned', 'Central Heating', 'Double Glazed Windows', 'Storage Areas', 'Balcony or Terrace', 'Lobby in Building', 'Elevators in Building: 2', 'Service Elevators', 'Completion Year: 2010', 'Prayer Room', 'Reception/Waiting Room', 'Flooring', 'Total Floors: 4', 'First Aid Medical Center', 'Gym or Health Club', 'Facilities for Disabled', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Steam Room', 'Lawn or Garden', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Laundry Room', 'Laundry Facility', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge', 'Floor: 2', 'View', 'Freehold']",2010,2.0,524.3890243902438,1,0,0,0,1,0,0,0,0,0,,0,813.2859142247321,-35.52218042653307,good value
6117,"https://www.bayut.com/property/details-5527722.html
",Bellevue Tower 1,Downtown Dubai,Bellevue Towers,1499999,1.0,2,1320.0,25.187137,55.275907,"Brand New, Biggest 1BR With Terrace, Genuine Resale",Unfurnished,"['Balcony or Terrace', 'Shared Kitchen', 'Maids Room', 'Swimming Pool', 'Electricity Backup', 'Centrally Air-Conditioned', 'Central Heating', 'Storage Areas', 'Study Room', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Prayer Room', 'First Aid Medical Center', 'Gym or Health Club', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Steam Room', 'Day Care Center', 'Kids Play Area', 'Lawn or Garden', 'Barbeque Area', 'Cafeteria or Canteen', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Conference Room', 'Security Staff', 'CCTV Security', 'Shared Kitchen', 'Laundry Room', 'Laundry Facility', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge', 'Maids Room']",0,,1136.3628787878788,0,0,0,0,0,0,0,0,0,1,,1,1938.8372968573603,-41.38946673711112,good value
6129,"https://www.bayut.com/property/details-5903573.html
",,Dubai Sports City,Frankfurt Sports Tower,320000,0.0,1,758.0,25.038206,55.204695,Distress Deal I Huge Studio I Bright I With Balcony,Unfurnished,"['Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Flooring', 'Parking Spaces', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'Elevators in Building', 'Flooring', 'Total Floors', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Steam Room', 'Day Care Center', 'Kids Play Area', 'Waste Disposal', 'Maintenance Staff', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']",0,,422.1635883905013,0,0,0,1,0,0,0,0,0,0,,0,702.4029574861368,-39.89723649493126,good value
6144,"https://www.bayut.com/property/details-5916299.html
",Golden Mile 4,Palm Jumeirah,Golden Mile,1600000,1.0,1,1304.0,25.106854,55.146765,Upgraded  Apartment Offering Comfort & Style,,[],0,,1226.993865030675,0,0,0,0,0,0,0,0,0,0,,0,2462.286414836728,-50.16851582994922,great value
6157,"https://www.bayut.com/property/details-5907710.html
",,Dubai Marina,Marina Pearl,695000,1.0,2,877.0,25.069799423218,55.134300231934,"Ideal Layout, Vacant, Stunning Unit",Unfurnished,"['Furnished', 'Balcony or Terrace', 'Shared Kitchen', 'Parking Spaces', 'Furnished', 'Electricity Backup', 'Parking Spaces', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Reception/Waiting Room', 'Gym or Health Club', 'Swimming Pool', 'Waste Disposal', 'Security Staff', 'CCTV Security', 'Shared Kitchen', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']",0,,792.4743443557583,0,0,0,0,0,0,1,0,0,0,,0,1524.779462290593,-48.02695314604597,good value
6158,"https://www.bayut.com/property/details-5897081.html
",,Town Square,Hayat Boulevard,1350000,3.0,3,2489.0,25.004746,55.296365,"3 Bedroom + Maids, Large Courtyard, Community View",Unfurnished,"['Balcony or Terrace', 'Parking Spaces: 1', 'Maids Room', 'Flooring', 'Parking Spaces: 1', 'Centrally Air-Conditioned', 'Central Heating', 'Balcony or Terrace', 'Lobby in Building', 'Reception/Waiting Room', 'Flooring', 'Sauna', 'Kids Play Area', 'Lawn or Garden', 'Barbeque Area', 'Waste Disposal', 'Maintenance Staff', 'Security Staff', 'CCTV Security', 'Intercom', 'Maids Room', 'View']",0,,542.3865006026517,1,0,0,0,0,0,0,0,0,0,,0,884.6426043878272,-38.688629971876246,good value
6171,"https://www.bayut.com/property/details-5908180.html
",,Business Bay,SLS Dubai Hotel & Residences,515000,1.0,2,1120.0,25.184561,55.291356,Hot Deal 7% Net ROI Guaranteed for 10 Years for Hotel Apartments,Furnished,['Furnished'],0,,459.82142857142856,0,0,0,0,1,0,0,0,0,0,,0,1305.23754217134,-64.77105402542372,great value
6173,"https://www.bayut.com/property/details-5908181.html
",,Business Bay,SLS Dubai Hotel & Residences,520000,1.0,2,1100.0,25.184561,55.291356,Hot Deal Guaranteed ROI 7% Net for 10 Years,Furnished,['Furnished'],0,,472.7272727272728,0,0,0,0,1,0,0,0,0,0,,0,1305.23754217134,-63.782280431432966,great value
6193,"https://www.bayut.com/property/details-5905996.html
",29 Boulevard 2,Downtown Dubai,29 Boulevard,2599878,2.0,3,3400.0,25.191772,55.272181,"29 bulvd, 2br vacant, huge terrace area",,['Balcony or Terrace'],0,,764.67,0,0,0,0,0,0,1,0,0,0,,0,2356.7802755620014,-67.55446369230769,great value
6194,"https://www.bayut.com/property/details-5914255.html
",,DAMAC Hills 2 (Akoya by DAMAC),Viridis Residences,669000,1.0,2,894.0000000000001,24.984072678362,55.391990258035,"No commission, 3year payment plan, luxury 1bhk, price 669k, Full facilities free",Unfurnished,"['Balcony or Terrace', 'Maids Room', 'Swimming Pool', 'Sauna', 'Centrally Air-Conditioned', 'Double Glazed Windows', 'Storage Areas', 'Balcony or Terrace', 'Gym or Health Club', 'Swimming Pool', 'Sauna', 'Kids Play Area', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'Satellite/Cable TV', 'Maids Room', 'Freehold']",0,,748.3221476510066,0,0,0,0,0,0,0,0,0,0,,0,1352.7054108216432,-44.67959234402188,good value
6197,"https://www.bayut.com/property/details-5907874.html
",South Ridge 1,Downtown Dubai,South Ridge Towers,2000000,2.0,3,1500.0000000000002,25.186969,55.276799,"INVESTOR DEAL, VACANT 2BR, NO AGENT PLS",,[],0,,1333.333333333333,0,0,0,0,1,0,1,0,0,0,,0,2356.7802755620014,-43.425641025641035,good value
6227,"https://www.bayut.com/property/details-5897471.html
",Burj Views C,Downtown Dubai,Burj Views,1700000,2.0,3,1487.0,25.190219,55.281293,"Burj Khalifa View , Furnished 2 Bedroom",,[],0,,1143.241425689307,1,0,0,0,0,0,0,0,1,0,,0,2356.7802755620014,-51.4913868915214,great value
6231,"https://www.bayut.com/property/details-5377427.html
",Marina Diamond 6,Dubai Marina,Marina Diamonds,725000,1.0,2,706.0,25.080789,55.145815,"Exclusive, High Floor, Marina View",,"['Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Jacuzzi', 'Parking Spaces', 'Centrally Air-Conditioned', 'Double Glazed Windows', 'Balcony or Terrace', 'Lobby in Building', 'Completion Year: 2008', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Steam Room', 'Waste Disposal', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']",2008,,1026.912181303116,1,0,0,0,0,0,0,0,0,0,,0,1524.779462290593,-32.651756749107705,good value
6236,"https://www.bayut.com/property/details-5346244.html
",Emirates Gardens 2,Jumeirah Village Circle (JVC),JVC District 14,450000,1.0,2,981.0,25.050797,55.205786,"Vacant Spacious 1BR Hall with Balcony, Ground Floor,",Unfurnished,['Lobby in Building'],0,,458.7155963302752,0,0,0,0,0,0,1,0,0,0,,0,813.2859142247321,-43.597253031543325,good value
6241,"https://www.bayut.com/property/details-5326631.html
",,Business Bay,Park Central,630000,1.0,1,683.0,25.178813,55.27108,"Bright, One Bedroom Apartment,Tenented",Unfurnished,"['Parking Spaces', 'Centrally Air-Conditioned', 'Lobby in Building', 'Completion Year: 2008', 'Parking Spaces', 'Centrally Air-Conditioned', 'Lobby in Building', 'Completion Year: 2008', 'Lawn or Garden', 'Cafeteria or Canteen', 'Waste Disposal', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']",2008,,922.4011713030746,0,0,0,0,0,0,0,0,0,0,,0,1343.1481326410985,-31.325432475618925,good value
6247,"https://www.bayut.com/property/details-5308838.html
",South Ridge 3,Downtown Dubai,South Ridge Towers,2700000,2.0,3,1663.0,25.186943,55.277843,"Full Burj Khalifa & Park View, 1663 Sq Ft",Unfurnished,['Balcony or Terrace'],0,,1623.571858087793,1,0,0,0,0,0,0,0,0,0,,0,2356.7802755620014,-31.110597159905637,good value
6250,"https://www.bayut.com/property/details-5872612.html
",8 Boulevard Walk,Downtown Dubai,Mohammad Bin Rashid Boulevard,1200000,1.0,1,1063.0,25.191167,55.269865,"Irresistible1BR, Rented Till Aug 22 , Spacious",Unfurnished,[],0,,1128.8805268109124,0,0,0,0,0,1,0,0,0,0,,0,1750.4454545454546,-35.50895722688752,good value
6262,"https://www.bayut.com/property/details-5907530.html
",,Downtown Dubai,Burj Al Nujoom,1400000,2.0,3,1373.0,25.191151,55.282047,"Spacious, Mid floor, Rented, Motivated Seller",,"['Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Centrally Air-Conditioned', 'Parking Spaces', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'Completion Year: 2009', 'Gym or Health Club', 'Swimming Pool', 'Kids Play Area', 'Waste Disposal', 'Maintenance Staff', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']",2009,,1019.6649672250546,0,0,0,0,0,1,0,0,0,0,,0,2356.7802755620014,-56.734831082973834,great value
6266,"https://www.bayut.com/property/details-5160949.html
",,Downtown Dubai,The Lofts,1200000,1.0,2,958.0,25.196665,55.26947,"Deal Of Your Life,Fully Upgraded,Motivated Seller",Furnished,"['Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Sauna', 'Electricity Backup', 'Parking Spaces', 'Centrally Air-Conditioned', 'Central Heating', 'Double Glazed Windows', 'Balcony or Terrace', 'Lobby in Building', 'Completion Year: 2010', 'Swimming Pool', 'Sauna', 'Steam Room', 'Kids Play Area', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']",2010,,1252.6096033402923,0,0,0,0,0,0,0,0,0,0,,0,1938.8372968573603,-35.39377412583133,good value
6273,"https://www.bayut.com/property/details-5893769.html
",,Downtown Dubai,Damac Maison Dubai Mall Street,1500000,2.0,2,1400.0,25.195212,55.283858,"AVAILABLE NOW, FULLY FURNISHED, 2 BEDROOM IN DAMAC",Furnished,"['Furnished', 'Parking Spaces: 1', 'Lobby in Building', 'Service Elevators', 'Furnished', 'Parking Spaces: 1', 'Lobby in Building', 'Service Elevators', 'Reception/Waiting Room', 'Gym or Health Club', 'Security Staff', 'CCTV Security', 'Freehold']",0,,1071.428571428571,0,0,0,0,0,0,0,0,1,0,,0,2111.9718309859154,-49.26880388700997,good value
6313,"https://www.bayut.com/property/details-5877370.html
",Siena,Jumeirah Village Circle (JVC),Tuscan Residence,485000,1.0,2,957.0,25.063278,55.208412,"Spacious 1 Bed, Equipped Kitchen, Vacant",,"['Balcony or Terrace', 'Parking Spaces: 1', 'Swimming Pool', 'Floor: 1', 'Parking Spaces: 1', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Gym or Health Club', 'Swimming Pool', 'Sauna', 'Steam Room', 'Day Care Center', 'Kids Play Area', 'Waste Disposal', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Floor: 1', 'Freehold']",0,1.0,506.7920585161965,0,0,0,0,0,0,1,0,0,0,,0,813.2859142247321,-37.68586795219514,good value
6332,"https://www.bayut.com/property/details-5897373.html
",,Al Furjan,East 40,907000,2.0,0,2236.0,25.020959,55.140255,Perfectly Placed in the Vibrant District of Al Furjan,Furnished,"['Furnished', 'Balcony or Terrace', 'Swimming Pool', 'Centrally Air-Conditioned', 'Furnished', 'Centrally Air-Conditioned', 'Study Room', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Swimming Pool', 'CCTV Security', 'Laundry Room', 'Satellite/Cable TV']",0,,405.6350626118068,0,0,0,0,0,0,0,0,0,0,,0,776.7707922851323,-47.7793106228293,good value
6341,"https://www.bayut.com/property/details-5868478.html
",Marina Diamond 3,Dubai Marina,Marina Diamonds,490000,0.0,1,446.0,25.081678,55.14697,"Studio Apt, Good Investment, Rented Unit",Unfurnished,"['Balcony or Terrace', 'Shared Kitchen', 'Parking Spaces', 'Swimming Pool', 'Parking Spaces', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'Completion Year: 2007', 'Gym or Health Club', 'Swimming Pool', 'Sauna', 'Steam Room', 'Barbeque Area', 'Waste Disposal', 'Maintenance Staff', 'Security Staff', 'CCTV Security', 'Shared Kitchen', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge', 'Freehold']",2007,,1098.6547085201794,0,0,0,0,1,1,0,0,0,0,,0,1584.6617296347433,-30.669449007681038,good value
6344,"https://www.bayut.com/property/details-5888730.html
",Dream Tower 1,Dubai Marina,Dream Towers,630000,1.0,2,732.0,25.070426,55.135944,"High ROI, Well Maintained, Spacious Balcony",Unfurnished,"['Balcony or Terrace', 'Swimming Pool', 'Centrally Air-Conditioned', 'Storage Areas', 'Centrally Air-Conditioned', 'Storage Areas', 'Balcony or Terrace', 'Reception/Waiting Room', 'Gym or Health Club', 'Swimming Pool', 'Lawn or Garden', 'Waste Disposal', 'Security Staff', 'CCTV Security', 'Freehold']",0,,860.655737704918,0,0,0,0,1,0,0,0,0,1,,1,1524.779462290593,-43.55539545292656,good value
6347,"https://www.bayut.com/property/details-5883559.html
",,Downtown Dubai,Damac Maison Dubai Mall Street,1455000,2.0,3,1100.0,25.195212,55.283858,FULLY FURNISHED / HIGH FLOOR / OPEN VIEW / 2 HBK,Furnished,['Furnished'],0,,1322.7272727272727,1,0,0,0,0,0,0,0,1,0,,0,2356.7802755620014,-43.87566433566433,good value
6350,"https://www.bayut.com/property/details-5896453.html
",8 Boulevard Walk,Downtown Dubai,Mohammad Bin Rashid Boulevard,1850000,2.0,2,1727.0000000000002,25.191167,55.269865,2BR + Maid I Well Maintained I Spacious,Unfurnished,"['Parking Spaces: 1', 'Swimming Pool', 'View', 'Lobby in Building', 'Parking Spaces: 1', 'Lobby in Building', 'Reception/Waiting Room', 'Gym or Health Club', 'Swimming Pool', 'Waste Disposal', 'CCTV Security', 'ATM Facility', 'View']",0,,1071.2217718587144,0,0,0,0,0,0,0,0,0,1,,0,2111.9718309859154,-49.27859566390882,good value
6351,"https://www.bayut.com/property/details-5892622.html
",,The Views,,2300000,3.0,3,2378.0,25.092800140381,55.171100616455,"LUXURIOUS, 3 BEDDROOM, UNIQUE LAYOUT",,[],0,,967.1993271656854,0,0,0,0,0,0,0,0,0,0,,0,1447.7588791443181,-33.19334171603646,good value
6362,"https://www.bayut.com/property/details-5883267.html
",,Downtown Dubai,Upper Crest (Burjside Terrace),1300000,1.0,2,1002.0,25.193536913457,55.284457057714,"Furnished Unit, Partial Lake View, Low Floor",Furnished,"['Furnished', 'Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Furnished', 'Parking Spaces', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'Prayer Room', 'Reception/Waiting Room', 'Gym or Health Club', 'Swimming Pool', 'Jacuzzi', 'Waste Disposal', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']",0,,1297.4051896207584,1,0,0,0,0,0,0,0,1,0,,0,1938.8372968573603,-33.083338569785724,good value
6370,"https://www.bayut.com/property/details-5775509.html
",Diamond Views IV,Jumeirah Village Circle (JVC),Diamond Views,425000,1.0,1,700.0,25.064273,55.216234,"Rented, One Bedroom, W/Balcony, For Sale, JVC",Unfurnished,"['Balcony or Terrace', 'Parking Spaces: 1', 'Swimming Pool', 'Floor: 2', 'Electricity Backup', 'Parking Spaces: 1', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'Elevators in Building: 2', 'Completion Year: 2009', 'Reception/Waiting Room', 'Gym or Health Club', 'Swimming Pool', 'Lawn or Garden', 'Waste Disposal', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge', 'Floor: 2', 'View', 'Freehold']",2009,2.0,607.1428571428571,0,0,0,0,0,1,0,0,0,0,,0,967.424042790431,-37.24128920844074,good value
6383,"https://www.bayut.com/property/details-5219550.html
",Central Park Residence Tower,DIFC,Central Park Towers,1400000,1.0,2,1274.0,25.205973,55.275064,"Investment Deal, Spacious & Bright, High Floor,",Unfurnished,"['Swimming Pool', 'Floor: 17', 'Flooring', 'Jacuzzi', 'Electricity Backup', 'Centrally Air-Conditioned', 'Central Heating', 'Lobby in Building', 'Elevators in Building: 6', 'Service Elevators', 'Completion Year: 2015', 'Prayer Room', 'Reception/Waiting Room', 'Flooring', 'Total Floors: 40', 'Gym or Health Club', 'Facilities for Disabled', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Steam Room', 'Kids Play Area', 'Barbeque Area', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Business Center', 'Security Staff', 'CCTV Security', 'Laundry Room', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', 'ATM Facility', '24 Hours Concierge', 'Floor: 17', 'View', 'Freehold']",2015,17.0,1098.901098901099,0,0,0,0,1,0,0,0,0,0,,0,1799.7750281214849,-38.942307692307686,good value
6395,"https://www.bayut.com/property/details-5321025.html
",,Dubai Marina,Marina Crown,1950000,3.0,4,2174.0,25.089967,55.148283,Upgraded Fully Furnished 3BR plus Maid Apartment,Furnished,"['Furnished', 'Balcony or Terrace', 'Parking Spaces: 2', 'Maids Room', 'Furnished', 'Electricity Backup', 'Parking Spaces: 2', 'Centrally Air-Conditioned', 'Double Glazed Windows', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Completion Year: 2006', 'Reception/Waiting Room', 'Flooring', 'Total Floors: 51', 'Gym or Health Club', 'Facilities for Disabled', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Steam Room', 'Day Care Center', 'Kids Play Area', 'Lawn or Garden', 'Barbeque Area', 'Cafeteria or Canteen', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Laundry Facility', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', 'ATM Facility', '24 Hours Concierge', 'Maids Room', 'View', 'Freehold']",2006,,896.9641214351426,0,0,0,0,0,0,0,0,1,0,,0,1595.778629787725,-43.79144420836998,good value
6397,"https://www.bayut.com/property/details-5257649.html
",,Downtown Dubai,Damac Maison The Distinction,2425000,3.0,3,2157.0,25.187985,55.279714,"Rented High ROI,REDUCED!, Stunning Views,3BHK,",,"['Balcony or Terrace', 'Parking Spaces', 'Maids Room', 'Swimming Pool', 'Parking Spaces', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Gym or Health Club', 'Swimming Pool', 'Jacuzzi', 'Maintenance Staff', 'Business Center', 'Laundry Facility', 'Broadband Internet', '24 Hours Concierge', 'Maids Room', 'Floor']",0,,1124.246638850255,1,0,0,0,1,1,0,0,0,0,,0,2643.778531244672,-57.47576336051993,great value
6422,"https://www.bayut.com/property/details-5181521.html
",Grenland Residence,Mohammed Bin Rashid City,District 11,1134467,2.0,3,1524.0,25.127874,55.355857,"Luxurious 2BR,Multiple Units Available,Brand New",,[],0,,744.4009186351706,0,0,0,0,0,0,0,0,0,1,,0,1533.8983050847455,-51.46999535969605,great value
6426,"https://www.bayut.com/property/details-5623730.html
",,Downtown Dubai,Burj Al Nujoom,1400000,2.0,2,1390.0,25.191151,55.282047,"Good Location, Canal View, Good Value",Furnished,"['Furnished', 'Parking Spaces', 'Swimming Pool', 'Centrally Air-Conditioned', 'Furnished', 'Parking Spaces', 'Centrally Air-Conditioned', 'Lobby in Building', 'Completion Year: 2009', 'Swimming Pool', 'Waste Disposal', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']",2009,,1007.1942446043164,1,0,0,0,0,0,0,0,0,0,,0,2111.9718309859154,-52.310242502896656,great value
6434,"https://www.bayut.com/property/details-5241741.html
",,DIFC,Sky Gardens DIFC,1050000,1.0,2,851.0,25.211736,55.28303,"Vacant On Transfer, 1 Bed, High Floor",,"['Parking Spaces', 'Sauna', 'Centrally Air-Conditioned', 'Lobby in Building', 'Parking Spaces', 'Centrally Air-Conditioned', 'Lobby in Building', 'Completion Year: 2008', 'Sauna', 'Lawn or Garden', 'Cafeteria or Canteen', 'Waste Disposal', 'Security Staff', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge']",2008,,1233.8425381903642,0,0,0,0,0,0,1,0,0,0,,0,1799.7750281214849,-31.444623971797895,good value
6443,"https://www.bayut.com/property/details-5248649.html
",,Dubai Marina,Trident Bayside,2600000,3.0,5,3349.0,25.081418,55.145019,"3 Bedrooms + Maids, Study, Laundry Room",Unfurnished,['Balcony or Terrace'],0,,776.3511495968946,0,0,0,0,0,0,0,0,0,0,,0,1240.4239482200646,-37.41243461875169,good value
6461,"https://www.bayut.com/property/details-5137432.html
",8 Boulevard Walk,Downtown Dubai,Mohammad Bin Rashid Boulevard,1800000,2.0,3,1530.0,25.191167,55.269865,"Bright Layout, Large Area, Spacious Balcony",,[],0,,1176.470588235294,0,0,0,0,0,0,0,0,0,0,,0,2356.7802755620014,-50.08144796380091,great value
6464,"https://www.bayut.com/property/details-5881746.html
",Marina View Tower A,Dubai Marina,Marina View Tower,1200000,2.0,3,1756.0,25.079141884721,55.142666101456,"Huge Layout, Prime Location, Rented",,"['Balcony or Terrace', 'Parking Spaces', 'Swimming Pool', 'Jacuzzi', 'Parking Spaces', 'Centrally Air-Conditioned', 'Central Heating', 'Double Glazed Windows', 'Storage Areas', 'Balcony or Terrace', 'Lobby in Building', 'Completion Year: 2007', 'Prayer Room', 'Reception/Waiting Room', 'Gym or Health Club', 'Swimming Pool', 'Jacuzzi', 'Kids Play Area', 'Waste Disposal', 'Maintenance Staff', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge', 'Freehold']",2007,,683.371298405467,0,0,0,0,0,1,0,0,0,0,,0,1458.4369817578772,-53.143584059299656,great value
